,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower 95% HPDI,Upper 95% HPDI,asd_cases,asd_LCL,asd_UCL
24,Alberta,75-79,Female,52095.0,248.71094937391905,0.004774180811477475,0,12,0,-5.339747263957547,10.860824253846284,0.0031079387113022313,0.0013262606431228867,0.007115817876107344,161.90806716528974,69.09154820348678,370.6985322558121
25,Alberta,75-79,Male,46015.0,458.89015176499487,0.009972620922851132,0,12,1,-4.597889168025202,10.736722709272957,0.010088279375892717,0.0042719497120875345,0.022461941791015894,464.21217548170335,196.5737660017079,1033.5862515135964
26,Alberta,80-84,Female,37040.0,101.40599201904935,0.002737742765093125,0,13,0,-5.897880009222014,10.519753688760115,0.001428280783089545,0.0006153068934871803,0.0032553856014086195,52.903520205636745,22.79096733476516,120.57948267617526
27,Alberta,80-84,Male,29345.0,130.32437237041026,0.004441109980249114,0,13,1,-5.412399937225289,10.286877452992435,0.004237141536531924,0.001797231484243666,0.009441280723479445,124.3389183895293,52.73975790513038,277.0543828305043
28,Alberta,85+,Female,25545.0,25.71020810093036,0.001006467336110016,0,14,0,-6.900301792192414,10.148196881764898,0.0003691414600294126,0.00016356442176634634,0.0008474826528687305,9.429718596451345,4.178253154021317,21.648944367531723
29,Alberta,85+,Male,17830.0,17.759148437820855,0.000996026272452095,0,14,1,-6.910740400127376,9.788637710857186,0.0009656748458585698,0.000411688333194992,0.00216708678252233,17.2179825016583,7.340402980866707,38.63915733237314
30,British Columbia,18-19,Female,54276.0,478.43679487196175,0.00881488678001256,1,0,0,-4.722459339502512,10.901837419265844,0.009354463505937646,0.004139212877506858,0.021323270092459806,507.72286124827167,224.65991813956222,1157.3418075383483
31,British Columbia,18-19,Male,56828.0,2306.0435309090562,0.04057935403162272,1,0,1,-3.1630701926250375,10.947784440991967,0.03546683942469158,0.015868665329523076,0.07775053141031422,2015.5095508263732,901.7845133461374,4418.407198985336
32,British Columbia,20-24,Female,162685.0,1429.3586538575978,0.008786050673741266,1,1,0,-4.725765090293762,11.999571094734485,0.010259413852476156,0.004583020493091694,0.023547583461534773,1669.0527425900834,745.5886889186223,3830.8386154397845
33,British Columbia,20-24,Male,178720.0,7186.779919276452,0.040212510739013274,1,1,1,-3.1725337349821143,12.093575614303028,0.04071078881431959,0.018104254994193696,0.08809963349810047,7275.832176895197,3235.5924525622972,15745.166498780516
