Geography,Sex,Year,Age_group,Rate
Nova Scotia,Male,2016,10 to 14,0.1
Nova Scotia,Male,2017,10 to 14,0
Nova Scotia,Male,2018,10 to 14,0
Nova Scotia,Male,2019,10 to 14,0.1
Nova Scotia,Male,2020,10 to 14,0.1
Nova Scotia,Female,2016,10 to 14,0.1
Nova Scotia,Female,2017,10 to 14,0.1
Nova Scotia,Female,2018,10 to 14,0.1
Nova Scotia,Female,2019,10 to 14,0.2
Nova Scotia,Female,2020,10 to 14,0.2
New Brunswick,Male,2016,10 to 14,0.2
New Brunswick,Male,2017,10 to 14,0.1
New Brunswick,Male,2018,10 to 14,0.2
New Brunswick,Male,2019,10 to 14,0
New Brunswick,Male,2020,10 to 14,0.1
New Brunswick,Female,2016,10 to 14,0.2
New Brunswick,Female,2017,10 to 14,0.2
New Brunswick,Female,2018,10 to 14,0
New Brunswick,Female,2019,10 to 14,0.1
New Brunswick,Female,2020,10 to 14,0.2
Quebec,Male,2016,10 to 14,0.1
Quebec,Male,2017,10 to 14,0.1
Quebec,Male,2018,10 to 14,0.1
Quebec,Male,2019,10 to 14,0.1
Quebec,Male,2020,10 to 14,0.1
Quebec,Female,2016,10 to 14,0.1
Quebec,Female,2017,10 to 14,0.1
Quebec,Female,2018,10 to 14,0.1
Quebec,Female,2019,10 to 14,0
Quebec,Female,2020,10 to 14,0.1
Ontario,Male,2016,10 to 14,0.1
Ontario,Male,2017,10 to 14,0.1
Ontario,Male,2018,10 to 14,0.1
Ontario,Male,2019,10 to 14,0.1
Ontario,Male,2020,10 to 14,0.1
Ontario,Female,2016,10 to 14,0.1
Ontario,Female,2017,10 to 14,0.1
Ontario,Female,2018,10 to 14,0.1
Ontario,Female,2019,10 to 14,0.1
Ontario,Female,2020,10 to 14,0.1
Manitoba,Male,2016,10 to 14,0.2
Manitoba,Male,2017,10 to 14,0.3
Manitoba,Male,2018,10 to 14,0.1
Manitoba,Male,2019,10 to 14,0.1
Manitoba,Male,2020,10 to 14,0.2
Manitoba,Female,2016,10 to 14,0.3
Manitoba,Female,2017,10 to 14,0.2
Manitoba,Female,2018,10 to 14,0.2
Manitoba,Female,2019,10 to 14,0.3
Manitoba,Female,2020,10 to 14,0.1
Saskatchewan,Male,2016,10 to 14,0.3
Saskatchewan,Male,2017,10 to 14,0.2
Saskatchewan,Male,2018,10 to 14,0.1
Saskatchewan,Male,2019,10 to 14,0.2
Saskatchewan,Male,2020,10 to 14,0.3
Saskatchewan,Female,2016,10 to 14,0.3
Saskatchewan,Female,2017,10 to 14,0
Saskatchewan,Female,2018,10 to 14,0.3
Saskatchewan,Female,2019,10 to 14,0.2
Saskatchewan,Female,2020,10 to 14,0.2
Alberta,Male,2016,10 to 14,0.2
Alberta,Male,2017,10 to 14,0.1
Alberta,Male,2018,10 to 14,0.1
Alberta,Male,2019,10 to 14,0.1
Alberta,Male,2020,10 to 14,0.2
Alberta,Female,2016,10 to 14,0.1
Alberta,Female,2017,10 to 14,0.1
Alberta,Female,2018,10 to 14,0.1
Alberta,Female,2019,10 to 14,0.1
Alberta,Female,2020,10 to 14,0.1
