,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower HPDI Prevalence,Upper HPDI Prevalence,Estimated Cases,Lower HPDI Cases,Upper HPDI Cases
196,Nova Scotia,55-59,Female,40190.0,252.1674667763187,0.00627438334850258,6,8,0,-5.064985919930662,10.601373487443247,0.005927749483933826,0.0057998002065543525,0.006055415902355566,238.2534625,206.0,267.0
197,Nova Scotia,55-59,Male,38985.0,815.507106720354,0.020918484204703193,6,8,1,-3.8459817235933467,10.570932235743701,0.020959316570176217,0.020526584192520257,0.021397800628426156,817.1647875,759.0,874.0
198,Nova Scotia,60-64,Female,38460.0,218.91630325600167,0.005692051566718712,6,9,0,-5.162976226258728,10.55737401914277,0.005319666276047078,0.005203480387338074,0.005437830809221403,204.5694375,175.0,231.0
199,Nova Scotia,60-64,Male,36550.0,662.1947432426668,0.018117503235093483,6,9,1,-3.9925931435696875,10.506436465177925,0.0188384820846187,0.018436702652977754,0.01923752868383312,688.508225,638.0,743.0
200,Nova Scotia,65-69,Female,33520.0,163.83700314985174,0.004887738757453811,6,10,0,-5.316125781415416,10.41989755459602,0.004496371462711953,0.004392759935682942,0.004598641869678271,150.72665,125.0,173.0
201,Nova Scotia,65-69,Male,31405.0,455.040713306442,0.014489435227079827,6,10,1,-4.219740067915461,10.354722394888482,0.015956524602636635,0.01559914777085932,0.01630778289534548,501.119175,454.0,544.0
202,Nova Scotia,70-74,Female,28610.0,110.60234958383735,0.0038658633199523717,6,11,0,-5.551696898120862,10.261511586044156,0.003468484567947464,0.0033844978304854024,0.0035551721335409145,99.2350875,78.0,117.0
203,Nova Scotia,70-74,Male,26400.0,266.72793252477084,0.01010333077745344,6,11,1,-4.584735413730911,10.181119289134408,0.01234128404558215,0.01204654485269947,0.012636042363029652,325.7670125,288.0,360.0
204,Nova Scotia,75-79,Female,19355.0,51.29287585183302,0.0026501098347627497,6,12,0,-5.930500565170462,9.870706063011749,0.002298452385827649,0.0022317268754931184,0.0023674733169185436,44.5013875,30.0,56.0
205,Nova Scotia,75-79,Male,16565.0,91.79222047812232,0.005541335374471616,6,12,1,-5.189963019417324,9.715047314733996,0.008202806465580099,0.007969398540557802,0.00844534205910237,135.7959375,111.0,157.0
206,Nova Scotia,80-84,Female,13125.0,17.217659280444398,0.0013118216594624303,6,13,0,-6.635025845136649,9.482274087459825,0.0011460861156886025,0.0010968334668718773,0.0011958536842188938,15.0546875,7.0,22.0
207,Nova Scotia,80-84,Male,10405.0,21.027400769511733,0.002020893875013141,6,13,1,-6.202192414429676,9.250041738827735,0.004102369324977631,0.003928757925378356,0.004280609856810897,42.674225,30.0,55.0
208,Nova Scotia,85+,Female,8630.0,3.051179110669545,0.0003535549375051616,6,14,0,-7.947118057051296,9.062999784077473,0.00033451069261716153,0.0003042944792302588,0.0003655885647805483,2.8848125,0.0,6.0
209,Nova Scotia,85+,Male,5285.0,1.778894185181686,0.0003365930340930342,6,14,1,-7.99629932163824,8.572627898304338,0.0011998811498340038,0.0010923321556685186,0.0013117542165210108,6.3562625,2.0,11.0
210,Nunavut,18-19,Female,654.0,3.9019910438456433,0.005966347161843491,7,0,0,-5.115636187607023,6.483107351457199,0.005083986676069254,0.00445529188278587,0.005715960408345125,3.321075,0.0,7.0
211,Nunavut,18-19,Male,652.0,15.04560428843272,0.0230760801969827,7,0,1,-3.7456121860450624,6.480044561926653,0.018013833933888238,0.015837974640404307,0.020242094250871923,11.761675,5.0,18.0
212,Nunavut,20-24,Female,1500.0,8.824632415142647,0.005883088276761764,7,1,0,-5.129772975999346,7.313220387090301,0.0050537739883356695,0.0044386329865004695,0.005684647886856121,7.570975,3.0,13.0
213,Nunavut,20-24,Male,1585.0,35.07534131521056,0.022129552880259026,7,1,1,-3.7884632444796122,7.368339686311381,0.01790817640967629,0.015738035725554118,0.020089508564772422,28.3623125,18.0,39.0
214,Nunavut,25-29,Female,1615.0,9.257842881177158,0.0057324104527412744,7,2,0,-5.155870260553879,7.387090235656757,0.004984985936188429,0.004378973368546382,0.005609144700970614,8.0540875,2.0,13.0
215,Nunavut,25-29,Male,1620.0,32.764791278111986,0.020225179801303696,7,2,1,-3.8803944169976368,7.3901814282264295,0.01766754278958323,0.01553508497984708,0.01983628513202921,28.66155,18.0,39.0
216,Nunavut,30-34,Female,1520.0,8.300729418565185,0.0054610061964244635,7,3,0,-5.204646249143104,7.326465613840322,0.004912045063934795,0.004306911135238448,0.00552008650851232,7.4755625,3.0,13.0
