Geography,Sex,Age_group,Persons
Quebec,Male,75 to 79,139091
Quebec,Male,80 to 84,84109
Quebec,Male,85 to 89,49472
Quebec,Male,90 to 94,18648
Quebec,Male,95 to 99,3924
Quebec,Male,100 and over,385
Quebec,Female,0 to 4,212658
Quebec,Female,5 to 9,227828
Quebec,Female,10 to 14,217545
Quebec,Female,15 to 19,208170
Quebec,Female,20 to 24,242707
Quebec,Female,25 to 29,272152
Quebec,Female,30 to 34,264213
Quebec,Female,35 to 39,286415
Quebec,Female,40 to 44,279003
Quebec,Female,45 to 49,257442
Quebec,Female,50 to 54,280525
Quebec,Female,55 to 59,320078
Quebec,Female,60 to 64,306824
Quebec,Female,65 to 69,260467
Quebec,Female,70 to 74,220057
Quebec,Female,75 to 79,157650
Quebec,Female,80 to 84,108411
Quebec,Female,85 to 89,78159
Quebec,Female,90 to 94,40987
Quebec,Female,95 to 99,13151
Quebec,Female,100 and over,2230
Ontario,Male,0 to 4,370014
Ontario,Male,5 to 9,388871
Ontario,Male,10 to 14,400712
Ontario,Male,15 to 19,441464
Ontario,Male,20 to 24,540009
Ontario,Male,25 to 29,538840
Ontario,Male,30 to 34,508062
Ontario,Male,35 to 39,475890
Ontario,Male,40 to 44,442272
Ontario,Male,45 to 49,460978
Ontario,Male,50 to 54,491317
Ontario,Male,55 to 59,530529
Ontario,Male,60 to 64,457694
Ontario,Male,65 to 69,371541
Ontario,Male,70 to 74,304338
Ontario,Male,75 to 79,204118
Ontario,Male,80 to 84,136774
Ontario,Male,85 to 89,80882
Ontario,Male,90 to 94,32420
Ontario,Male,95 to 99,7000
Ontario,Male,100 and over,589
Ontario,Female,0 to 4,350992
Ontario,Female,5 to 9,374128
Ontario,Female,10 to 14,386334
Ontario,Female,15 to 19,418530
Ontario,Female,20 to 24,491137
Ontario,Female,25 to 29,507400
Ontario,Female,30 to 34,499146
Ontario,Female,35 to 39,487887
Ontario,Female,40 to 44,471153
Ontario,Female,45 to 49,479388
Ontario,Female,50 to 54,500397
Ontario,Female,55 to 59,538288
Ontario,Female,60 to 64,480895
Ontario,Female,65 to 69,407626
Ontario,Female,70 to 74,340965
Ontario,Female,75 to 79,240552
Ontario,Female,80 to 84,175285
Ontario,Female,85 to 89,121418
Ontario,Female,90 to 94,64410
Ontario,Female,95 to 99,21628
Ontario,Female,100 and over,2828
Manitoba,Male,0 to 4,44046
Manitoba,Male,5 to 9,45342
Manitoba,Male,10 to 14,42687
Manitoba,Male,15 to 19,45318
Manitoba,Male,20 to 24,50586
Manitoba,Male,25 to 29,50930
Manitoba,Male,30 to 34,49406
Manitoba,Male,35 to 39,46664
Manitoba,Male,40 to 44,43082
Manitoba,Male,45 to 49,41402
Manitoba,Male,50 to 54,40549
Manitoba,Male,55 to 59,45164
Manitoba,Male,60 to 64,40616
Manitoba,Male,65 to 69,33524
Manitoba,Male,70 to 74,26226
Manitoba,Male,75 to 79,17306
Manitoba,Male,80 to 84,11226
Manitoba,Male,85 to 89,6730
Manitoba,Male,90 to 94,2882
Manitoba,Male,95 to 99,675
Manitoba,Male,100 and over,83
Manitoba,Female,0 to 4,41761
Manitoba,Female,5 to 9,43316
Manitoba,Female,10 to 14,41903
Manitoba,Female,15 to 19,42565
Manitoba,Female,20 to 24,45359
Manitoba,Female,25 to 29,47504
Manitoba,Female,30 to 34,48217
Manitoba,Female,35 to 39,46646
Manitoba,Female,40 to 44,42460
Manitoba,Female,45 to 49,41145
Manitoba,Female,50 to 54,41420
Manitoba,Female,55 to 59,45614
Manitoba,Female,60 to 64,41179
Manitoba,Female,65 to 69,35260
Manitoba,Female,70 to 74,28208
Manitoba,Female,75 to 79,19595
Manitoba,Female,80 to 84,14269
Manitoba,Female,85 to 89,10403
Manitoba,Female,90 to 94,6006
Manitoba,Female,95 to 99,2280
Manitoba,Female,100 and over,400
Saskatchewan,Male,0 to 4,38867
Saskatchewan,Male,5 to 9,39799
Saskatchewan,Male,10 to 14,37829
Saskatchewan,Male,15 to 19,36882
Saskatchewan,Male,20 to 24,39483
Saskatchewan,Male,25 to 29,42040
Saskatchewan,Male,30 to 34,44211
Saskatchewan,Male,35 to 39,42778
Saskatchewan,Male,40 to 44,37639
Saskatchewan,Male,45 to 49,33932
Saskatchewan,Male,50 to 54,34678
Saskatchewan,Male,55 to 59,39813
Saskatchewan,Male,60 to 64,37284
Saskatchewan,Male,65 to 69,29678
Saskatchewan,Male,70 to 74,21680
Saskatchewan,Male,75 to 79,14472
Saskatchewan,Male,80 to 84,9796
Saskatchewan,Male,85 to 89,6252
Saskatchewan,Male,90 to 94,2817
Saskatchewan,Male,95 to 99,708
Saskatchewan,Male,100 and over,87
Saskatchewan,Female,0 to 4,37696
Saskatchewan,Female,5 to 9,38253
Saskatchewan,Female,10 to 14,36740
Saskatchewan,Female,15 to 19,34738
Saskatchewan,Female,20 to 24,35412
Saskatchewan,Female,25 to 29,38549
Saskatchewan,Female,30 to 34,42230
Saskatchewan,Female,35 to 39,41496
Saskatchewan,Female,40 to 44,36070
